category,paper_id,title,authors,task,type,needs_training,extra_data,code,s1_mod_pos,s2_no_extra_data,s3_has_code,s4_pluggable,score_total,verdict,ease,keyword_hits
Brave New Ideas,1,"Let Your Video Listen to Your Music! — Beat-Aligned, Content-Preserving Video Editing with Arbitrary Music","Xinyu Zhang, Dong Gong, Zicheng Duan, Anton van den Hengel, Lingqiao Liu",Video,Other,Y,N,Unknown,0,1,0,0,1,MAYBE,2,
Brave New Ideas,2,Compliance Rating Scheme: A Data Provenance Framework for Generative AI Datasets,"Maty Bohacek, Ignacio Echavarri",Other,Other,Y,Y,Unknown,0,0,0,0,0,MAYBE,1,
Brave New Ideas,3,A Novel Perspective on Low-Light Image Enhancement: Leveraging Artifact Regularization and Walsh-Hadamard Transform,"Weilin Wu, Shifan Yang, Qizhao Lin, Xinghong Chen, Kunping Yang, Jing Wang, Guannan Chen",Other,Loss / Training trick,Y,N,Unknown,1,1,0,1,3,KEEP,4,regularization
Brave New Ideas,8,"Teaching AI to Feel: A Collaborative, Full-Body Exploration of Emotive Communication","Esen Tütüncü, Lissette Lemus, Kris Pilcher, Dr. Sprengel, Jordi Sabater-Mir",Other,Adapter-Prompt,Y,N,Unknown,1,1,0,1,3,KEEP,4,lora
Brave New Ideas,9,Towards Modality Generalization: A Benchmark and Prospective Analysis,"Xiaohao Liu, Xiaobo Xia, Zhuo Huang, See-Kiong Ng, Tat-Seng Chua",Other,Other,Y,Y,Unknown,0,0,0,0,0,PASS,1,
Brave New Ideas,15,MarkSplatter: Generalizable Watermarking for 3D Gaussian Splatting Model via Splatter Image Structure,"Xiufeng Huang, Ziyuan Luo, Qi Song, Ruofei Wang, Renjie Wan",Other,Other,Y,N,Unknown,0,1,0,0,1,MAYBE,2,
Brave New Ideas,18,Align 3D Representation and Text Embedding,"Qi Song, Ziyuan Luo, Ka Chun Cheung, Simon See, Renjie Wan",Other,Other,Y,N,Unknown,0,1,0,0,1,MAYBE,2,
Brave New Ideas,19,Financial Models in Generative Art: Black-Scholes-Inspired Concept Blending in Text-to-Image Diffusion,"Divya Kothandaraman, Ming Lin, Dinesh Manocha",Other,Other,Y,N,Unknown,0,1,0,0,1,MAYBE,2,
Brave New Ideas,20,Generative Flow Networks for Personalized Multimedia Systems: A Case Study on Short Video Feeds,"Yili Jin, Ling Pan, Ruixiao Zhang, Jiangchuan Liu, Xue Liu",Video,Other,Y,N,Unknown,0,1,0,0,1,MAYBE,2,
Brave New Ideas,26,Singing Timbre Popularity Assessment Based on Multimodal Large Foundation Model,"Zihao Wang, Ruibin Yuan, Ziqi Geng, Hengjia Li, Xingwei Qu, Xinyi Li, Songye Chen, Haoying Fu, Roger Dannenberg, Kejun Zhang",VLM,Other,Y,N,Unknown,0,1,0,0,1,MAYBE,2,
Brave New Ideas,31,"Generative AI for Multimedia Communication: Recent Advances, An Information-Theoretic Framework, and Future Opportunities","Yili Jin, Xue Liu, Jiangchuan Liu",Other,Other,Y,N,Unknown,0,1,0,0,1,MAYBE,2,
Brave New Ideas,33,MLLMs Meet Person Re-identification,"Mengying Duan, He Li, Mang Ye",VLM,Other,Y,N,Unknown,0,1,0,0,1,MAYBE,2,
Brave New Ideas,37,T2UE: Generating Unlearnable Examples from Text Descriptions,"Xingjun Ma, Hanxun Huang, Tianwei Song, Ye Sun, Yifeng Gao, Yu-Gang Jiang",Other,Other,Y,N,Unknown,0,1,0,0,1,MAYBE,2,
Brave New Ideas,39,Fighting Fire with Fire (F3): A Training-free and Efficient Visual Adversarial Example Purification Method in LVLMs,"Yudong Zhang, Ruobing Xie, Yiqing Huang, Jiansheng Chen, Xingwu Sun, Zhanhui Kang, Di Wang, Yu Wang",VLM,Other,Y,N,Unknown,0,1,0,0,1,KEEP,2,efficient
Brave New Ideas,41,GenStream: Semantic Streaming Framework for Generative Reconstruction of Human-centric Media,"Emanuele Artioli, Daniele Lorenzi, Shivi Vats, Farzad Tashtarian, Christian Timmerer",Other,Other,Y,N,Unknown,0,1,0,0,1,MAYBE,2,
Brave New Ideas,45,Towards a Global Spatial-Temporal Food Memory: A Vision for Privacy-Preserving Collaborative Multimedia Analysis,"Zhihao Hao, Bob Zhang, LI Haisheng",Video,Adapter-Prompt,Y,N,Unknown,1,1,0,1,3,KEEP,4,memory
Brave New Ideas,47,Towards a Universal Query Representation for Multimodal Information Retreival,"Luca Rossetto, Heiko Schuldt, Ralph Gasser",VLM,Other,Y,N,Unknown,0,1,0,0,1,MAYBE,2,
Brave New Ideas,48,Specify Privacy Yourself: Assessing Inference-Time Personalized Privacy Preservation Ability of Large Vision-Language Models,"Xingqi Wang, Xiaoyuan Yi, Xing Xie, Jia Jia",VLM,Other,Y,N,Unknown,0,1,0,0,1,MAYBE,2,
Brave New Ideas,50,"Learning New Concepts, Remembering the Old: Continual Learning for Multimodal Concept Bottleneck Models","Songning Lai, Mingqian Liao, Zhangyi Hu, Jiayu Yang, Wenshuo Chen, Hongru Xiao, Jianheng Tang, Haicheng Liao, Yutao Yue",VLM,Other,Y,N,Unknown,0,1,0,0,1,MAYBE,2,
Brave New Ideas,53,Abstractive Visual Understanding of Multi-modal Structured Knowledge: A New Perspective for MLLM Evaluation,"Yichi Zhang, Zhuo Chen, Lingbing Guo, yajing Xu, Min Zhang, Wen Zhang, Huajun Chen",VLM,Other,Y,N,Unknown,0,1,0,0,1,MAYBE,2,
Brave New Ideas,55,HEALTH+: Empowering Individuals via Unifying Health Data,"Sujaya Maiyya, Shantanu Sharma, Avinash Kumar",Other,Other,Y,N,Unknown,0,1,0,0,1,MAYBE,2,
Brave New Ideas,59,LDW: Label Divergence Weighting for Multimodal Sentiment Analysis,"Quanqi Du, Loic De Langhe, Els Lefever, Veronique Hoste",VLM,Other,Y,N,Unknown,0,1,0,0,1,MAYBE,2,
Brave New Ideas,63,Physics-Informed Representation Alignment for Sparse Radio-Map Reconstruction,"Jia Haozhe, Wenshuo Chen, Huang Zhihui, Lei Wang, Hongru Xiao, Jia Nanqian, Keming Wu, Songning Lai, Bowen Tian, Yutao Yue",Other,Other,Y,N,Unknown,0,1,0,0,1,MAYBE,2,
Brave New Ideas,64,The Birth of Vision Language,"Aminul Islam, Md Alam, Shaker Islam",VLM,Other,Y,N,Unknown,0,1,0,0,1,MAYBE,2,
Brave New Ideas,65,A Matter of Time: Revealing the Structure of Time in Vision-Language Models,"Nidham Tekaya, Manuela Waldner, Matthias Zeppelzauer",VLM,Other,Y,N,Unknown,0,1,0,0,1,MAYBE,2,
Brave New Ideas,66,One Size Fits All? A Modular Adaptive Sanitization Kit (MASK) for Customizable Privacy-Preserving Phone Scam Detection,"Kangzhong Wang, Zitong Shen, Youqian Zhang, Michael Cheung, Xiapu Luo, Grace Ngai, Eugene Fu",Seg,Other,Y,N,Unknown,0,1,0,0,1,MAYBE,2,
Brave New Ideas,69,Domain-Agnostic Neural Oil Painting via Normalization Affine Test-Time Adaptation,"Qichao Dong, Lingyu Liu, Yaxiong Wang, Jason Liu, Zhedong Zheng",Other,Inference postproc,N,N,Unknown,1,1,0,1,3,KEEP,4,normalization
Brave New Ideas,73,MoralCLIP: Contrastive Alignment of Vision-and-Language Representations with Moral Foundations Theory,"Ana Condez, Diogo Tavares, Joao Magalhaes",Other,Loss / Training trick,Y,N,Unknown,1,1,0,1,3,KEEP,4,contrastive
Brave New Ideas,77,MindFuse: Towards GenAI Explainability in Marketing Strategy Co-Creation,"Aleksandr Farseev, Marlo Ongpin, Qi Yang, Ilia Gossoudarev, Joy Chu-Farseeva, Sergey Nikolenko",Other,Other,Y,N,Unknown,0,1,0,0,1,MAYBE,2,
Brave New Ideas,81,Multifractal Comparison of Billboard and AI-Generated Music,"Kevin Zhang, Ying Sun, Hui Xiong",Audio,Other,Y,N,Unknown,0,1,0,0,1,MAYBE,2,
Brave New Ideas,82,From Hemoglobin to MOS: Towards Neuro-Based QoE Assessment Using fNIRS,"Natalia Jakubiec, Lucjan Janowski",Other,Other,Y,N,Unknown,0,1,0,0,1,MAYBE,2,
Brave New Ideas,83,Re-examining concept-based explainable models for multimodal interpretative tasks,"Julie Tores, Elisa Ancarani, Rémy Sun, Lucile Sassatelli, Hui-Yin Wu, Frederic Precioso",VLM,Other,Y,N,Unknown,0,1,0,0,1,MAYBE,2,
Brave New Ideas,84,Pre-Forgettable Models: Prompt Learning as a Native Mechanism for Unlearning,"Rutger Hendrix, Giovanni Patanè, Leonardo Russo, Simone Carnemolla, Federica Proietto Salanitri, Giovanni Bellitto, Concetto Spampinato, Matteo Pennisi",Other,Adapter-Prompt,Y,N,Unknown,1,1,0,1,3,KEEP,4,prompt
Brave New Ideas,85,RQ-Rec: Residual Quantized Hierarchical Preference Modeling for Cross-Domain Recommendation,"Yingjun Dai, Ahmed El-Roby",Other,Other,Y,N,Unknown,0,1,0,0,1,MAYBE,2,
Brave New Ideas,86,Can Audio Language Models Listen Between the Lines? A Study on Metaphorical Reasoning via Unspoken,"Hongru Xiao, Xiang Li, Duyi Pan, Longfei Zhang, ZhixueSong ZhixueSong, Jiale Han, Songning Lai, Wenshuo Chen, Jing Tang, Benyou Wang",Audio,Other,Y,N,Unknown,0,1,0,0,1,MAYBE,2,
Brave New Ideas,90,A Data-driven Approach to the Longitudinal Study of Canine Vocal Pattern Development,"Hridayesh Lekhak, Tuan Dang, Theron Wang, Kenny Zhu",Other,Other,Y,N,Unknown,0,1,0,0,1,MAYBE,2,
Brave New Ideas,92,Agent-to-Agent (A2A) Protocol Integrated Digital Twin System with AgentIQ for Multimodal AI Fitness Coaching and Personalized Well-Being,"Kamran HamlAbadi, Monica Vahdati, Fedwa Laamarti, Abdulmotaleb El Saddik",VLM,Other,Y,N,Unknown,0,1,0,0,1,MAYBE,2,
Brave New Ideas,95,Queryable 3D Scene Representation: A Multi-Modal Framework for Semantic Reasoning and Robotic Task Planning,"Xun Li, Rodrigo Santa Cruz, Mingze Xi, Hu Zhang, Madhawa Perera, Ziwei Wang, Ahalya Ravendran, Brandon Matthews, Feng Xu, Matt Adcock, Dadong Wang, Jiajun Liu",Other,Other,Y,N,Unknown,0,1,0,0,1,MAYBE,2,
Brave New Ideas,97,Ensuring Responses Contain Appropriate Images: Timing Judgment for Multimodal Responses,"Hao Yang, Tian Zheng, Yanyan Zhao, Bing Qin",VLM,Other,Y,N,Unknown,0,1,0,0,1,MAYBE,2,
Brave New Ideas,98,Turing Patterns for Multimedia: Reaction-Diffusion Multi-Modal Fusion for Language-Guided Video Moment Retrieval,"Xiang Fang, Wanlong Fang, Wei Ji, Tat-Seng Chua",Retrieval,Other,Y,N,Unknown,0,1,0,0,1,MAYBE,2,
Brave New Ideas,100,AirScape: An Aerial Generative World Model with Motion Controllability,"Baining Zhao, Rongze Tang, Mingyuan Jia, Ziyou Wang, Fanhang Man, Xin Zhang, Yu Shang, Weichen Zhang, Chen Gao, Wei Wu, Xinlei Chen, Yong Li",Other,Other,Y,N,Unknown,0,1,0,0,1,MAYBE,2,
Brave New Ideas,106,TinyServe: TinyServe: Query-Aware Cache Selection for Efficient LLM Inference,"Dong Liu, Yanxuan Yu",VLM,Other,Y,N,Unknown,0,1,0,0,1,KEEP,2,efficient
Brave New Ideas,108,Robustness as Architecture: Designing IQA Models to Withstand Adversarial Perturbations,"Igor Meleshin, Anna Chistyakova, Anastasia Antsiferova, Dmitriy Vatolin",Other,Other,Y,N,Unknown,0,1,0,0,1,MAYBE,2,
Brave New Ideas,112,MAGNeT: Multimodal Adaptive Gaussian Networks for Intent Inference in Moving Target Selection across Complex Scenarios,"Xiangxian Li, Yawen Zheng, Baiqiao Zhang, Yijia Ma, XianhuiCao XianhuiCao, Juan Liu, Yulong Bian, Jin Huang, Chenglei Yang",VLM,Other,Y,N,Unknown,0,1,0,0,1,MAYBE,2,
Datasets,1,OinkTrack: An Ultra-Long-Term Dataset for Multi-Object Tracking and Re-Identification of Group-Housed Pigs,"Feng-Kai Huang, Hong-Wei Xu, Chu-Chuan Lee, Hong-Yi Tu, Hong-Han Shuai, Wen-Huang Cheng",Other,Other,Y,Y,Unknown,0,0,0,0,0,MAYBE,1,
Datasets,2,SMIIP-NV: A Multi-Annotation Non-Verbal Expressive Speech Corpus in Mandarin for LLM-Based Speech Synthesis,"Zhuojun Wu, Dong Liu, Juan Liu, Yechen Wang, Linxi Li, Liwei Jin, Hui Bu, Pengyuan zhang, Ming Li",VLM,Other,Y,Y,Unknown,0,0,0,0,0,PASS,1,
Datasets,4,A New Dataset and Benchmark for Grounding Multimodal Misinformation,"Bingjian Yang, Danni Xu, Kaipeng Niu, Wenxuan Liu, Zheng Wang, Mohan Kankanhalli",VLM,Other,Y,Y,Unknown,0,0,0,0,0,PASS,1,
Datasets,5,Deep-Plant-Disease Dataset Is All You Need for Plant Disease Identification,"Abel Chai, Kelly Jee, Sue Han Lee, Tay Siang, Jules Vandeputte, Hervé Goeau, Pierre Bonnet, Alexis Joly",Other,Other,Y,Y,Unknown,0,0,0,0,0,MAYBE,1,
Datasets,6,CMM-Math: A Chinese Multimodal Math Dataset To Evaluate and Enhance the Mathematics Reasoning of Large Multimodal Models,"Wentao Liu, Qianjun Pan, Yi Zhang, Zhuo Liu, Ji Wu, Jie Zhou, Aimin Zhou, Qin Chen, Bo Jiang, Liang He",VLM,Other,Y,Y,Unknown,0,0,0,0,0,MAYBE,1,
Datasets,7,A Large-scale Universal Evaluation Benchmark For Face Forgery Detection,"Hengrui Lou, Zunlei Feng, Jinsong Geng, Erteng Liu, Lechao Cheng, Jie Lei, Jie Song, Mingli Song, Yijun Bei",Other,Other,Y,Y,Unknown,0,0,0,0,0,PASS,1,
Datasets,12,LSC-ADL: An Activity of Daily Living (ADL)-Annotated Lifelog Dataset Generated via Semi-Automatic Clustering,"Duy-Khang Ho, Minh-Quan Ho-Le, Van-Tu Ninh, Cathal Gurrin, Minh-Triet Tran",Other,Other,Y,Y,Unknown,0,0,0,0,0,MAYBE,1,
Datasets,19,WeatherBench: A Real-World Benchmark Dataset for All-in-One Adverse Weather Image Restoration,"Qiyuan Guan, Qianfeng Yang, Xiang Chen, Tianyu Song, Guiyue Jin, Jiyu Jin",Other,Other,Y,Y,Unknown,0,0,0,0,0,PASS,1,
Datasets,25,MSITrack: A Challenging Benchmark for Multispectral Single Object Tracking,"Tao Feng, Tingfa Xu, Haolin Qin, Tianhao Li, Shuaihao Han, Zou Xuyang, Lv Zhan, Jianan Li",Other,Other,Y,Y,Unknown,0,0,0,0,0,PASS,1,
Datasets,26,MSC: A Marine Wildlife Dataset for Video Understanding with Grounded Segmentation and Clip-Level Captions,"Quang-Trung Truong, Wong Kwan, D.V.H.K Tuyen, Rinaldi Gotama, Duc Nguyen, Sai-Kit Yeung",Video,Other,Y,Y,Unknown,0,0,0,0,0,MAYBE,1,
Datasets,28,The CASTLE 2024 Dataset: Advancing the Art of Multimodal Understanding,"Luca Rossetto, Werner Bailer, Duc Tien Dang Nguyen, Graham Healy, Björn Jónsson, Onanong Kongmeesub, Hoang-Bao Le, Stevan Rudinac, Klaus Schoeffmann, Florian Spiess, Allie Tran, Minh-Triet Tran, Quang-Linh Tran, Cathal Gurrin",VLM,Other,Y,Y,Unknown,0,0,0,0,0,MAYBE,1,
Datasets,30,CoPESD: A Multi-Level Surgical Motion Dataset for Training Large Vision-Language Models to Co-Pilot Endoscopic Submucosal Dissection,"Guankun Wang, Han Xiao, Renrui Zhang, Huxin Gao, Long Bai, Xiaoxiao Yang, Zhen Li, Hongsheng Li, Hongliang Ren",VLM,Other,Y,Y,Unknown,0,0,0,0,0,MAYBE,1,
Datasets,32,EmoArt: A Multidimensional Dataset for Emotion-Aware Artistic Generation,"Cheng Zhang, Hongxia Xie, Bin Wen, Songhan Zuo, Ruoxuan Zhang, Wen-Huang Cheng",Other,Other,Y,Y,Unknown,0,0,0,0,0,MAYBE,1,
Datasets,39,Genesis: A Large-Scale Benchmark for Multimodal Large Language Model in Emotional Causality Analysis,"Yulong Li, Yuxuan Zhang, Rui Chen, Feilong Tang, Zhixiang Lu, Ming Hu, Jianghao Wu, Haochen Xue, Mian Zhou, Chong Li, Jionglong Su, Imran Razzak",VLM,Other,Y,Y,Unknown,0,0,0,0,0,PASS,1,
Datasets,42,RecipeGen: A Step-Aligned Multimodal Benchmark for Real-World Recipe Generation,"Ruoxuan Zhang, Jidong Gao, Bin Wen, Hongxia Xie, Chenming Zhang, Hong-Han Shuai, Wen-Huang Cheng",VLM,Other,Y,Y,Unknown,0,0,0,0,0,PASS,1,
Datasets,48,DFBench: Benchmarking Deepfake Image Detection Capability of Large Multimodal Models,"Jiarui Wang, Huiyu Duan, Juntong Wang, Ziheng Jia, Woo Yang, Xiaorong Zhu, Yu Zhao, Jiaying Qian, Yuke Xing, Guangtao Zhai, Xiongkuo Min",VLM,Other,Y,Y,Unknown,0,0,0,0,0,PASS,1,
Datasets,49,EditWorld: Simulating World Dynamics for Instruction-Following Image Editing,"Bohan Zeng, Ling Yang, Jiaming Liu, Minghao Xu, Yuanxing Zhang, Pengfei Wan, Wentao Zhang, Shuicheng YAN",Other,Other,Y,N,Unknown,0,1,0,0,1,MAYBE,2,
Datasets,50,3DGS-IEval-15K: A Large-scale Image Quality Evaluation Database for 3D Gaussian-Splatting,"Yuke Xing, Jiarui Wang, Peizhi Niu, Wenjie Huang, Guangtao Zhai, Yiling Xu",Other,Other,Y,N,Unknown,0,1,0,0,1,MAYBE,2,
